employee_id,department,region,tenure_years,remote_worker,salary_band
1,Marketing,Germany,10.5,0,Senior
2,Operations,France,11.6,1,Mid
3,Customer Success,UK,4.1,0,Junior
4,Engineering,Germany,2.5,0,Mid
5,Sales,France,14.5,0,Mid
6,Finance,France,1.6,1,Junior
7,Finance,Canada,2.9,1,Lead
8,Finance,UK,2.3,1,Junior
9,Engineering,UK,5.6,0,Mid
10,Sales,India,5.5,0,Senior
11,Finance,Canada,3.7,0,Mid
12,HR,Germany,0.9,0,Lead
13,Finance,UK,14.9,1,Junior
14,Marketing,France,13.7,0,Junior
15,Marketing,Canada,9.8,1,Lead
16,Operations,Canada,11.3,0,Senior
17,Operations,India,10.1,0,Lead
18,Marketing,India,5.6,1,Senior
19,Engineering,USA,8.5,0,Junior
20,HR,Canada,7.3,1,Lead
21,Sales,Germany,5.2,1,Junior
22,Engineering,Germany,9.2,0,Senior
23,Sales,Germany,5.7,1,Junior
24,Engineering,India,3.3,0,Junior
25,HR,Germany,8.3,1,Lead
26,Marketing,Canada,2.5,0,Lead
27,Engineering,Canada,8.2,1,Junior
28,Finance,UK,13.4,1,Lead
29,Finance,Canada,8.0,1,Junior
30,Marketing,USA,2.1,1,Mid
31,Sales,USA,3.7,1,Senior
32,Marketing,France,3.3,1,Lead
33,Sales,UK,9.0,1,Lead
34,HR,France,13.4,0,Senior
35,Engineering,Germany,14.0,1,Lead
36,HR,India,15.0,0,Lead
37,Operations,France,6.8,1,Junior
38,Customer Success,USA,4.3,1,Lead
39,Sales,Canada,6.6,0,Mid
40,HR,India,11.9,1,Junior
41,Sales,Germany,0.8,0,Lead
42,Engineering,Germany,14.7,1,Senior
43,Sales,Canada,5.5,0,Senior
44,Sales,USA,3.3,0,Mid
45,Operations,Canada,10.3,0,Senior
46,Customer Success,USA,11.9,1,Lead
47,Customer Success,Canada,4.3,0,Mid
48,Finance,France,7.0,1,Mid
49,Finance,UK,1.5,0,Lead
50,HR,Germany,9.5,0,Lead
51,Customer Success,France,8.1,0,Mid
52,Finance,Germany,5.5,1,Mid
53,HR,India,11.2,0,Senior
54,Finance,UK,9.1,1,Mid
55,Finance,USA,9.2,0,Mid
56,Engineering,Germany,6.5,0,Mid
57,Finance,India,9.0,0,Lead
58,Sales,UK,13.0,1,Lead
59,Customer Success,Canada,10.2,1,Lead
